Aggregation Level,Data item,Unit,Pathway,Fuel,Peak/ Annual/ Minimum,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
2,GBFES Customer Demand: Direct Transmission Customers,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],5000,5000,5000,5000,5000,5583,6165,6748,7330,7913,7913,7788,7663,7538,7497,7122,6748,6373,5999,5624,5416,5358,5300,5241,5183,5125,5067,5008,5000,5000,5000
2,GBFES Customer Demand: Direct Transmission Customers,GWh,Electric Engagement,Electricity,Annual [Fiscal],5000,5000,5000,5000,5000,5583,6165,6748,7330,7913,7913,7788,7663,7538,7497,7122,6748,6373,5999,5624,5416,5358,5300,5241,5183,5125,5067,5008,5000,5000,5000
2,GBFES Customer Demand: Direct Transmission Customers,GWh,Counterfactual,Electricity,Annual [Fiscal],5000,5000,5000,5000,5000,5583,6165,6748,7330,7913,7913,7788,7663,7538,7497,7122,6748,6373,5999,5624,5416,5358,5300,5241,5183,5125,5067,5008,5000,5000,5000
2,GBFES Customer Demand: Direct Transmission Customers,GWh,Holistic Transition,Electricity,Annual [Fiscal],5000,5000,5000,5000,5000,5583,6165,6748,7330,7913,7913,7788,7663,7538,7497,7122,6748,6373,5999,5624,5416,5358,5300,5241,5183,5125,5067,5008,5000,5000,5000
2,GBFES Customer Demand: Direct Transmission Customers,GWh,Five Year Forecast,Electricity,Annual [Fiscal],5000,5000,5000,5000,5000,5583,6165,6748,7330,7913,,,,,,,,,,,,,,,,,,,,,
2,GBFES Customer Demand: Residential,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],103027,109111,103466,102859,101593,101508,100064,99792,100297,101766,104294,107388,111004,115266,119573,123803,128991,134747,140654,146018,150863,155325,159027,162072,165907,169142,171915,174123,176020,177992,179859
2,GBFES Customer Demand: Residential,GWh,Electric Engagement,Electricity,Annual [Fiscal],103027,109111,103466,102859,100582,98898,97244,96763,97153,98652,101407,105202,109458,114206,119091,123725,129963,136663,143114,148959,154318,159124,164184,168610,172323,175109,177196,179090,181002,182809,184584
2,GBFES Customer Demand: Residential,GWh,Counterfactual,Electricity,Annual [Fiscal],103027,109111,103466,102859,104318,104335,102817,101943,101677,102234,103299,104886,106738,108916,111314,113833,117026,121405,126211,131327,136254,141151,145803,150053,153909,157469,161503,165233,169118,173189,177427
2,GBFES Customer Demand: Residential,GWh,Holistic Transition,Electricity,Annual [Fiscal],103027,109111,103466,102859,99350,97305,95223,94433,94684,95960,98174,101539,105437,110145,115027,119806,126127,132914,139477,145494,150966,156365,160977,164920,168078,169944,171209,172172,172640,173066,173291
2,GBFES Customer Demand: Residential,GWh,Five Year Forecast,Electricity,Annual [Fiscal],103027,109111,103466,102859,101495,101693,100594,100348,101008,102639,,,,,,,,,,,,,,,,,,,,,
2,GBFES Customer Demand: Total Industrial (Electrolysis & District Heat included),GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],78400,77323,72629,72143,72060,73497,74935,77801,83517,85889,91362,94613,100461,108704,116381,127917,136014,145248,148472,158463,162186,171636,181484,194933,197509,209403,226218,236854,235889,247202,248907
2,GBFES Customer Demand: Total Industrial (Electrolysis & District Heat included),GWh,Electric Engagement,Electricity,Annual [Fiscal],78400,77323,72629,72152,71733,73062,75151,76405,78499,79400,83503,86629,91868,100749,108115,114360,124165,134186,141153,148239,155808,169726,182552,197463,209890,214689,218577,222984,226672,229075,226023
2,GBFES Customer Demand: Total Industrial (Electrolysis & District Heat included),GWh,Counterfactual,Electricity,Annual [Fiscal],78400,77323,72629,72140,72272,73081,74574,75722,76932,77861,79125,80329,81759,83292,84632,86019,87259,89372,90504,91249,92844,94837,96053,97340,100135,102443,103536,104809,107204,111568,112871
2,GBFES Customer Demand: Total Industrial (Electrolysis & District Heat included),GWh,Holistic Transition,Electricity,Annual [Fiscal],78400,77323,72629,72152,71377,72762,74611,77499,81919,82479,89826,93478,97399,99528,106370,111689,115604,120635,124283,132568,137021,148933,153710,166958,180658,186872,198289,204064,208357,215628,213781
2,GBFES Customer Demand: Total Industrial (Electrolysis & District Heat included),GWh,Five Year Forecast,Electricity,Annual [Fiscal],78400,77323,72629,72152,72326,74153,75489,77576,78576,79611,,,,,,,,,,,,,,,,,,,,,
2,GBFES System Losses: Distribution ,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],17005,16612,16072,15277,14739,14414,14574,14701,14923,15221,15601,16067,16599,17177,17750,18336,18992,19687,20404,21059,21670,22215,22690,23089,23431,23689,23883,24053,24239,24401,24584
2,GBFES System Losses: Distribution ,GWh,Electric Engagement,Electricity,Annual [Fiscal],17005,16612,16072,15277,14603,14202,14288,14473,14786,15194,15718,16366,17139,18006,18929,19905,21019,22158,23248,24258,25148,25914,26563,27076,27510,27847,28113,28343,28509,28673,28855
2,GBFES System Losses: Distribution ,GWh,Counterfactual,Electricity,Annual [Fiscal],17005,16612,16072,15277,14957,14628,14689,14801,14935,15124,15368,15662,16005,16395,16782,17184,17646,18185,18763,19375,20005,20651,21275,21882,22470,23077,23612,24126,24661,25213,25783
2,GBFES System Losses: Distribution ,GWh,Holistic Transition,Electricity,Annual [Fiscal],17005,16612,16072,15277,14534,14154,14271,14485,14766,15141,15583,16127,16777,17523,18285,19066,19948,20853,21724,22552,23273,23881,24422,24875,25254,25532,25736,25916,26049,26094,26183
2,GBFES System Losses: Distribution ,GWh,Five Year Forecast,Electricity,Annual [Fiscal],17005,16612,16072,15277,14774,14502,14664,14915,15201,15570,,,,,,,,,,,,,,,,,,,,,
2,GBFES System Losses: Transmission,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],6943,6558,6371,6143,6100,6126,6194,6244,6366,6497,6649,6843,7067,7323,7568,7813,8125,8473,8821,9138,9414,9659,9864,10033,10168,10260,10322,10389,10487,10573,10666
2,GBFES System Losses: Transmission,GWh,Electric Engagement,Electricity,Annual [Fiscal],6943,6558,6371,6143,5994,5944,5937,5978,6110,6264,6468,6740,7079,7468,7875,8305,8801,9307,9776,10204,10566,10878,11125,11305,11445,11541,11630,11729,11816,11895,11979
2,GBFES System Losses: Transmission,GWh,Counterfactual,Electricity,Annual [Fiscal],6943,6558,6371,6143,6216,6251,6279,6332,6398,6493,6595,6710,6850,7019,7185,7356,7570,7835,8114,8407,8704,9012,9315,9610,9890,10178,10432,10678,10945,11229,11529
2,GBFES System Losses: Transmission,GWh,Holistic Transition,Electricity,Annual [Fiscal],6943,6558,6371,6143,5967,5924,5933,5986,6082,6213,6393,6597,6856,7177,7505,7878,8249,8648,9025,9364,9636,9865,10053,10203,10316,10402,10504,10610,10704,10746,10807
2,GBFES System Losses: Transmission,GWh,Five Year Forecast,Electricity,Annual [Fiscal],6943,6558,6371,6143,6117,6170,6240,6353,6507,6675,,,,,,,,,,,,,,,,,,,,,
3,Commercial Micro-generation,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],3479,3387,3410,3442,3462,3478,2323,3510,3528,3546,3561,3577,3592,3607,3622,3637,3654,3671,3688,3705,3722,3741,3761,3780,3799,3818,3839,3861,3882,3903,3924
3,Commercial Micro-generation,GWh,Electric Engagement,Electricity,Annual [Fiscal],3479,3387,3410,3442,3510,3578,3646,3715,3783,3851,3919,3985,4051,4116,4182,4247,4313,4379,4444,4510,4575,4641,4707,4772,4838,4903,4969,5035,5100,5166,5231
3,Commercial Micro-generation,GWh,Counterfactual,Electricity,Annual [Fiscal],3479,3387,3410,3442,3449,3449,3449,3449,3449,3450,3450,3450,3450,3450,3450,3450,3450,3450,3451,3451,3451,3451,3451,3451,3451,3451,3451,3452,3452,3452,3452
3,Commercial Micro-generation,GWh,Holistic Transition,Electricity,Annual [Fiscal],3479,3387,3410,3442,3509,3575,3642,3709,3775,3842,3909,3973,4037,4101,4165,4229,4294,4358,4422,4486,4550,4614,4678,4742,4806,4871,4935,4999,5063,5127,4440
3,Commercial Micro-generation,GWh,Five Year Forecast,Electricity,Annual [Fiscal],3479,3387,3410,3442,3473,3504,3535,3566,3597,3628,,,,,,,,,,,,,,,,,,,,,
3,GBFES Customer Demand: Commercial with Micro-generation deducted,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],78175,80385,78971,79736,82208,84221,88041,90317,93781,97925,102719,108125,114072,120340,126704,133473,140236,147133,154070,160893,167292,173174,178653,183684,186458,188878,190941,192787,194631,196493,198372
3,GBFES Customer Demand: Commercial with Micro-generation deducted,GWh,Electric Engagement,Electricity,Annual [Fiscal],78175,80385,78971,79736,81885,84658,88066,91692,96556,102426,108875,115608,123092,130965,138927,147334,156316,165686,175366,185225,194453,203062,209885,215487,220599,224797,228551,231994,234213,236439,238722
3,GBFES Customer Demand: Commercial with Micro-generation deducted,GWh,Counterfactual,Electricity,Annual [Fiscal],78175,80385,78971,79736,82776,84158,85618,87657,89947,92592,95625,98967,102673,106979,111353,115890,120727,125755,130992,136432,142349,148490,154397,160351,166430,173085,177931,182538,187235,191900,196486
3,GBFES Customer Demand: Commercial with Micro-generation deducted,GWh,Holistic Transition,Electricity,Annual [Fiscal],78175,80385,78971,79736,82272,85812,90113,94594,99680,105502,111831,118411,125761,133580,141507,149645,157915,166466,175172,184225,192105,198588,204452,209892,214887,219142,222981,226480,229613,231399,233717
3,GBFES Customer Demand: Commercial with Micro-generation deducted,GWh,Five Year Forecast,Electricity,Annual [Fiscal],78175,80385,78971,79736,82500,84636,87693,91784,95876,100702,,,,,,,,,,,,,,,,,,,,,
3,GBFES Customer Demand: Deduct Networked Electrolysis from Industrial,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],0,0,30,20,60,1070,1570,3690,8980,11230,16860,19940,25550,33700,41520,53300,61360,70590,73610,83820,87590,97350,107560,121580,124280,136790,154520,165730,164730,176510,178240
3,GBFES Customer Demand: Deduct Networked Electrolysis from Industrial,GWh,Electric Engagement,Electricity,Annual [Fiscal],0,0,30,30,90,950,2150,2190,2920,2930,5960,7160,9510,14740,17700,18800,23250,28310,31250,35270,40750,53580,65820,80650,93190,97960,101900,106500,110280,112710,109410
3,GBFES Customer Demand: Deduct Networked Electrolysis from Industrial,GWh,Counterfactual,Electricity,Annual [Fiscal],0,0,30,20,30,30,40,40,560,1040,1790,2430,3060,3920,4910,5970,6830,8580,9300,9560,10630,12030,12550,13090,15200,16770,17040,17310,18590,21690,21510
3,GBFES Customer Demand: Deduct Networked Electrolysis from Industrial,GWh,Holistic Transition,Electricity,Annual [Fiscal],0,0,30,30,60,1050,1940,3640,7350,7320,14370,17330,20000,20510,25720,29170,31140,34580,37160,44910,48990,61030,65700,79290,93400,99740,111550,117510,121950,129500,127520
3,GBFES Customer Demand: Deduct Networked Electrolysis from Industrial,GWh,Five Year Forecast,Electricity,Annual [Fiscal],0,0,30,30,60,1060,1120,2280,2640,3290,,,,,,,,,,,,,,,,,,,,,
3,GBFES Customer Demand: Total Industrial (Excluding Electrolysis),GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],78400,77323,72599,72123,72000,72427,73365,74111,74537,74659,74502,74673,74911,75004,74861,74617,74654,74658,74862,74643,74596,74286,73924,73353,73229,72613,71698,71124,71159,70692,70667
3,GBFES Customer Demand: Total Industrial (Excluding Electrolysis),GWh,Electric Engagement,Electricity,Annual [Fiscal],78400,77323,72599,72122,71643,72112,73001,74215,75579,76470,77543,79469,82358,86009,90415,95560,100915,105876,109903,112969,115058,116146,116732,116813,116700,116729,116677,116484,116392,116365,116613
3,GBFES Customer Demand: Total Industrial (Excluding Electrolysis),GWh,Counterfactual,Electricity,Annual [Fiscal],78400,77323,72599,72120,72242,73051,74534,75682,76372,76821,77335,77899,78699,79372,79722,80049,80429,80792,81204,81689,82214,82807,83503,84250,84935,85673,86496,87499,88614,89878,91361
3,GBFES Customer Demand: Total Industrial (Excluding Electrolysis),GWh,Holistic Transition,Electricity,Annual [Fiscal],78400,77323,72599,72122,71317,71712,72671,73859,74569,75159,75456,76148,77399,79018,80650,82519,84464,86055,87123,87658,88031,87903,88010,87668,87258,87132,86739,86554,86407,86128,86261
3,GBFES Customer Demand: Total Industrial (Excluding Electrolysis),GWh,Five Year Forecast,Electricity,Annual [Fiscal],78400,77323,72599,72122,72266,73093,74369,75296,75936,76321,,,,,,,,,,,,,,,,,,,,,
3,Residential Air Conditioning Demand,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],145,157,167,167,189,214,242,275,310,351,396,449,507,573,647,731,826,939,1068,1215,1381,1571,1786,2031,2309,2625,2984,3392,3856,4384,4984
3,Residential Air Conditioning Demand,GWh,Electric Engagement,Electricity,Annual [Fiscal],145,157,167,167,189,214,242,275,310,351,396,449,507,573,647,731,826,939,1068,1215,1381,1571,1786,2031,2309,2625,2984,3392,3856,4384,4984
3,Residential Air Conditioning Demand,GWh,Counterfactual,Electricity,Annual [Fiscal],145,157,167,167,193,223,258,299,345,399,460,532,614,709,819,945,1090,1266,1471,1709,1986,2307,2680,3113,3615,4198,4876,5663,6576,7638,8870
3,Residential Air Conditioning Demand,GWh,Holistic Transition,Electricity,Annual [Fiscal],145,157,167,167,167,167,167,167,167,165,165,165,165,165,164,163,163,163,164,165,165,166,167,167,168,168,169,169,170,171,171
3,Residential Air Conditioning Demand,GWh,Five Year Forecast,Electricity,Annual [Fiscal],145,157,167,167,185,207,229,255,283,315,,,,,,,,,,,,,,,,,,,,,
3,Residential District Heat Demand,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],1462,1553,1471,1582,1780,1866,1951,2036,2121,2206,2291,2362,2421,2479,2534,2554,3102,3741,4450,5157,5792,6440,7085,7736,8327,8871,9441,10012,10568,11118,11640
3,Residential District Heat Demand,GWh,Electric Engagement,Electricity,Annual [Fiscal],1462,1553,1471,1582,1746,1788,1831,1873,1916,1958,2000,2065,2118,2169,2217,2095,2966,3833,4692,5549,6368,7175,7967,8762,9539,10205,10973,11752,12537,13331,14133
3,Residential District Heat Demand,GWh,Counterfactual,Electricity,Annual [Fiscal],1462,1553,1471,1582,1752,1811,1871,1931,1991,2050,2110,2217,2324,2424,2517,2575,2593,2608,2626,2639,2632,2663,2701,2736,2765,2772,2774,2773,2782,2800,2827
3,Residential District Heat Demand,GWh,Holistic Transition,Electricity,Annual [Fiscal],1462,1553,1471,1582,1772,1817,1862,1907,1953,1998,2043,2108,2162,2213,2261,2126,2932,3726,4515,5286,5957,6671,7359,8056,8757,9441,10173,10925,11689,12465,13251
3,Residential District Heat Demand,GWh,Five Year Forecast,Electricity,Annual [Fiscal],1462,1553,1471,1582,1772,1872,1973,2073,2173,2274,,,,,,,,,,,,,,,,,,,,,
3,Residential Electric Vehicles Demand (EVs),GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],927,1592,2322,3290,4511,5951,7723,9783,12167,14844,17956,21345,24943,28694,32334,35801,38845,41709,44100,45855,47004,47553,47498,46966,47715,48286,48623,48645,48670,48700,48743
3,Residential Electric Vehicles Demand (EVs),GWh,Electric Engagement,Electricity,Annual [Fiscal],927,1592,2322,3290,4486,5942,7703,9756,12139,14828,17954,21376,25041,28884,32653,36297,39559,42708,45398,47483,48981,49894,51174,52111,52698,52935,52841,52699,52522,52309,52061
3,Residential Electric Vehicles Demand (EVs),GWh,Counterfactual,Electricity,Annual [Fiscal],927,1592,2322,3290,4208,5407,6863,8524,10424,12535,14854,17351,20021,22835,25717,28630,31889,35278,38526,41496,43821,45741,47179,48137,48583,48576,48903,48878,48798,48680,48537
3,Residential Electric Vehicles Demand (EVs),GWh,Holistic Transition,Electricity,Annual [Fiscal],927,1592,2322,3290,4499,5964,7741,9819,12241,14988,18197,21736,25559,29609,33637,37594,41228,44818,48009,50643,52737,54737,56235,57360,58039,57773,57422,56981,56464,55871,55203
3,Residential Electric Vehicles Demand (EVs),GWh,Five Year Forecast,Electricity,Annual [Fiscal],927,1592,2322,3290,4498,5952,7722,9784,12180,14884,,,,,,,,,,,,,,,,,,,,,
3,Residential Heat Pumps,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],1263,1483,1504,1680,2017,2435,2811,3408,4181,5167,6477,8088,10003,12279,14751,17328,19736,22299,25145,27974,30786,33549,36073,38435,40330,41847,43017,43804,44167,44293,44192
3,Residential Heat Pumps,GWh,Electric Engagement,Electricity,Annual [Fiscal],1263,1483,1504,1680,1949,2395,2801,3415,4333,5555,7241,9334,11575,13974,16538,19119,21967,24922,27836,30667,33383,36017,38427,40506,42225,43448,44222,44776,45140,45300,45397
3,Residential Heat Pumps,GWh,Counterfactual,Electricity,Annual [Fiscal],1263,1483,1504,1680,1940,2284,2612,3035,3453,3862,4254,4540,4888,5226,5560,5900,6579,7742,9152,11030,13232,15525,17747,19998,22327,24760,27411,30057,32826,35701,38623
3,Residential Heat Pumps,GWh,Holistic Transition,Electricity,Annual [Fiscal],1263,1483,1504,1680,1908,2291,2684,3337,4218,5389,6881,8689,10664,13127,15687,18375,21186,24097,26966,29783,32492,35081,37342,39311,40904,42127,42978,43588,43688,43657,43461
3,Residential Heat Pumps,GWh,Five Year Forecast,Electricity,Annual [Fiscal],1263,1483,1504,1680,2013,2382,2754,3282,3995,4863,,,,,,,,,,,,,,,,,,,,,
3,Residential Light & Appliance Demand,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],78705,82774,78250,76961,73518,71067,68441,66513,64771,63467,62375,61174,60053,59137,58274,57440,56641,56211,55807,55389,54972,54719,54485,54254,54039,53846,53690,53545,53387,53377,53414
3,Residential Light & Appliance Demand,GWh,Electric Engagement,Electricity,Annual [Fiscal],78705,82774,78250,76961,72775,70085,67279,65157,63231,61761,60582,59414,58324,57389,56516,55646,54779,54279,53830,53359,52890,52563,52310,52078,51859,51670,51529,51398,51446,51533,51616
3,Residential Light & Appliance Demand,GWh,Counterfactual,Electricity,Annual [Fiscal],78705,82774,78250,76961,76286,74117,71563,69496,67749,66561,65628,64779,63880,63116,62455,61858,61167,60859,60577,60265,59945,59827,59802,59785,59780,59800,59878,59954,60035,60121,60208
3,Residential Light & Appliance Demand,GWh,Holistic Transition,Electricity,Annual [Fiscal],78705,82774,78250,76961,71949,69025,65869,63478,61504,59922,58400,57041,55780,54665,53640,52658,51698,51073,50470,49859,49246,48743,48261,47789,47363,47031,46591,46152,45745,45509,45275
3,Residential Light & Appliance Demand,GWh,Five Year Forecast,Electricity,Annual [Fiscal],78705,82774,78250,76961,73448,71254,68793,66895,65383,64405,,,,,,,,,,,,,,,,,,,,,
3,Residential Resistive Heat Demand,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],5556,6092,5771,5749,6003,6241,5908,5562,5233,4906,4598,4278,3952,3624,3295,2968,2888,2849,2875,2947,3083,3282,3490,3686,3878,4060,4257,4465,4677,4890,5103
3,Residential Resistive Heat Demand,GWh,Electric Engagement,Electricity,Annual [Fiscal],5556,6092,5771,5749,6198,6095,5819,5536,5259,4990,4733,4500,4269,4039,3804,3576,3564,3580,3639,3730,3900,4076,4259,4437,4608,4772,4914,5057,5202,5352,5500
3,Residential Resistive Heat Demand,GWh,Counterfactual,Electricity,Annual [Fiscal],5556,6092,5771,5749,6018,6280,6000,5666,5341,5025,4717,4492,4301,4141,4006,3891,3711,3599,3583,3635,3762,3938,4170,4401,4631,4861,5014,5140,5235,5307,5360
3,Residential Resistive Heat Demand,GWh,Holistic Transition,Electricity,Annual [Fiscal],5556,6092,5771,5749,6072,5930,5612,5281,4958,4637,4328,4029,3731,3432,3138,2847,2830,2847,2916,3029,3216,3424,3644,3864,4083,4300,4510,4723,4939,5153,5366
3,Residential Resistive Heat Demand,GWh,Five Year Forecast,Electricity,Annual [Fiscal],5556,6092,5771,5749,6003,6257,6016,5724,5432,5144,,,,,,,,,,,,,,,,,,,,,
3,Residential Resistive Hot Water,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],520,225,94,37,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Residential Resistive Hot Water,GWh,Electric Engagement,Electricity,Annual [Fiscal],520,225,94,37,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Residential Resistive Hot Water,GWh,Counterfactual,Electricity,Annual [Fiscal],520,225,94,37,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Residential Resistive Hot Water,GWh,Holistic Transition,Electricity,Annual [Fiscal],520,225,94,37,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Residential Resistive Hot Water,GWh,Five Year Forecast,Electricity,Annual [Fiscal],520,225,94,37,15,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
3,Residential Smart Metering - Demand Reduction,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],0,214,404,496,636,773,892,1009,1120,1231,1339,1309,1280,1255,1231,1208,1191,1181,1174,1167,1161,1160,1159,1159,1158,1158,1159,1160,1161,1165,1170
3,Residential Smart Metering - Demand Reduction,GWh,Electric Engagement,Electricity,Annual [Fiscal],0,214,404,496,948,1143,1316,1485,1644,1802,1959,1917,1878,1843,1810,1777,1750,1736,1724,1713,1704,1699,1697,1695,1694,1693,1693,1694,1699,1707,1713
3,Residential Smart Metering - Demand Reduction,GWh,Counterfactual,Electricity,Annual [Fiscal],0,214,404,496,329,402,465,526,585,644,703,693,682,673,665,657,649,645,642,639,637,638,640,642,644,647,649,651,653,654,656
3,Residential Smart Metering - Demand Reduction,GWh,Holistic Transition,Electricity,Annual [Fiscal],0,214,404,496,1249,1499,1716,1925,2127,2324,2509,2443,2380,2324,2271,2220,2181,2157,2135,2116,2098,2087,2076,2066,2058,2053,2044,2035,2027,2026,2026
3,Residential Smart Metering - Demand Reduction,GWh,Five Year Forecast,Electricity,Annual [Fiscal],0,214,404,496,636,775,898,1017,1133,1298,,,,,,,,,,,,,,,,,,,,,
3,Residential Storage Heat,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],14449,15449,14290,13890,14196,14501,13881,13225,12636,12055,11540,11001,10404,9735,8969,8189,8143,8181,8384,8648,9005,9370,9770,10123,10467,10765,11061,11421,11857,12394,12954
3,Residential Storage Heat,GWh,Electric Engagement,Electricity,Annual [Fiscal],14449,15449,14290,13890,14173,13516,12885,12236,11610,11011,10461,9982,9502,9021,8524,8039,8054,8137,8376,8668,9118,9528,9959,10380,10779,11147,11426,11709,11998,12306,12607
3,Residential Storage Heat,GWh,Counterfactual,Electricity,Annual [Fiscal],14449,15449,14290,13890,14235,14609,14115,13518,12960,12446,11979,11669,11390,11138,10907,10692,10646,10698,10917,11191,11513,11787,12165,12524,12853,13149,13296,13419,13517,13596,13658
3,Residential Storage Heat,GWh,Holistic Transition,Electricity,Annual [Fiscal],14449,15449,14290,13890,14217,13605,13004,12369,11771,11185,10669,10214,9757,9258,8772,8262,8271,8347,8571,8845,9251,9629,10045,10438,10822,11156,11409,11669,11972,12267,12589
3,Residential Storage Heat,GWh,Five Year Forecast,Electricity,Annual [Fiscal],14449,15449,14290,13890,14196,14538,14005,13351,12694,12053,,,,,,,,,,,,,,,,,,,,,
4,Commercial Electric Vehicles Demand (EVs),GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],378,607,877,1301,1836,2512,3381,4460,5799,7436,9480,11939,14809,17963,21333,25212,28878,32657,36470,40149,43395,46207,48869,51450,52180,52688,52824,52706,52564,52388,52191
4,Commercial Electric Vehicles Demand (EVs),GWh,Electric Engagement,Electricity,Annual [Fiscal],378,607,877,1301,1863,2582,3500,4649,6091,7874,10114,12839,16072,19688,23676,28273,32946,38126,43798,49694,55033,59857,63468,66755,69677,71872,73622,75017,75074,75073,75084
4,Commercial Electric Vehicles Demand (EVs),GWh,Counterfactual,Electricity,Annual [Fiscal],378,607,877,1301,1670,2203,2871,3671,4637,5780,7129,8708,10548,12683,15114,17812,20898,24225,27771,31510,35682,40091,44336,48686,53183,58292,61537,64486,67353,70141,72846
4,Commercial Electric Vehicles Demand (EVs),GWh,Holistic Transition,Electricity,Annual [Fiscal],378,607,877,1301,1872,2595,3516,4664,6095,7850,10034,12659,15719,19067,22673,26717,30683,34989,39639,44823,49392,52960,56162,59056,61585,63532,65132,66434,67384,66989,66379
4,Commercial Electric Vehicles Demand (EVs),GWh,Five Year Forecast,Electricity,Annual [Fiscal],378,607,877,1301,1857,2563,3467,4592,5997,7723,,,,,,,,,,,,,,,,,,,,,
4,"Total Commercial Demand inc Heat Pumps, District Heat, Rail Traction, No directs, exc EV",GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],81655,83772,82381,81877,83834,85187,86983,89368,91511,94035,96800,99763,102854,105984,108992,111898,115012,118147,121288,124449,127619,130708,133545,136013,138077,140008,141956,143942,145949,148008,150105
